,Mean Actual Retained Bits,actual_bits,actual_strata,bits_error,differentia,policy,resolution,target_bits,_
0,63.0,63,63,-1,1,TaperedDepthProportionalResolution,31,64,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64
1,56.0,56,7,-8,8,TaperedDepthProportionalResolution,3,64,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64
2,192.0,192,3,128,64,TaperedDepthProportionalResolution,1,64,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64
3,255.0,255,255,-1,1,TaperedDepthProportionalResolution,127,256,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256
4,248.0,248,31,-8,8,TaperedDepthProportionalResolution,15,256,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256
5,192.0,192,3,-64,64,TaperedDepthProportionalResolution,1,256,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256
6,1022.0958904109589,1023,1023,-1,1,TaperedDepthProportionalResolution,511,1024,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024
7,1016.0,1016,127,-8,8,TaperedDepthProportionalResolution,63,1024,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024
8,960.0,960,15,-64,64,TaperedDepthProportionalResolution,7,1024,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024
9,58.178082191780824,59,59,-5,1,RecencyProportionalResolution,5,64,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64
10,49.42465753424658,56,7,-8,8,RecencyProportionalResolution,0,64,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64
11,395.3972602739726,448,7,384,64,RecencyProportionalResolution,0,64,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64
12,251.17808219178082,252,252,-4,1,RecencyProportionalResolution,30,256,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256
13,233.42465753424656,240,30,-16,8,RecencyProportionalResolution,2,256,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256
14,395.3972602739726,448,7,192,64,RecencyProportionalResolution,0,256,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256
15,1022.1780821917808,1023,1023,-1,1,RecencyProportionalResolution,177,1024,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024
16,1009.4246575342465,1016,127,-8,8,RecencyProportionalResolution,13,1024,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024
17,395.3972602739726,448,7,-576,64,RecencyProportionalResolution,0,1024,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024
