,index,id,ancestor_list,origin_time,branch_length,name,Origin Time Lower Bound (Inclusive),Origin Time Upper Bound (Exclusive),Origin Time Estimate,Treatment,Algorithm
0,0,0,[None],1.5,1.5,Inner23,0.0,4.0,1.5,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
1,1,1,[0],87.0,85.5,Inner21,85.0,90.0,87.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
2,2,2,[1],351.0,264.0,Inner19,349.0,354.0,351.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
3,3,3,[2],483.0,132.0,Inner3,481.0,486.0,483.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
4,4,4,[3],495.0,12.0,4686,495.0,496.0,495.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
5,5,5,[3],496.0,13.0,Inner1,494.0,499.0,496.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
6,6,6,[5],499.0,3.0,4714,499.0,500.0,499.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
7,7,7,[5],500.0,4.0,4728,500.0,501.0,500.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
8,8,8,[2],351.0,0.0,Inner18,349.0,354.0,351.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
9,9,9,[8],428.0,77.0,Inner15,426.0,431.0,428.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
10,10,10,[9],490.0,62.0,4629,490.0,491.0,490.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
11,11,11,[9],499.0,71.0,4720,499.0,500.0,499.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
12,12,12,[8],461.0,110.0,Inner11,459.0,464.0,461.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
13,13,13,[12],461.0,0.0,Inner8,459.0,464.0,461.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
14,14,14,[13],477.0,16.0,4517,477.0,478.0,477.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
15,15,15,[13],489.0,28.0,4626,489.0,490.0,489.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
16,16,16,[12],501.0,40.0,4735,501.0,502.0,501.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
17,17,17,[1],474.0,387.0,Inner10,472.0,477.0,474.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
18,18,18,[17],501.0,27.0,4733,501.0,502.0,501.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
19,19,19,[17],501.0,27.0,4737,501.0,502.0,501.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
20,20,20,[0],3.0,1.5,Inner22,1.0,6.0,3.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
21,21,21,[20],422.0,419.0,Inner16,420.0,425.0,422.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
22,22,22,[21],498.0,76.0,4707,498.0,499.0,498.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
23,23,23,[21],478.0,56.0,Inner5,476.0,481.0,478.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
24,24,24,[23],486.0,8.0,4595,486.0,487.0,486.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
25,25,25,[23],501.0,23.0,4738,501.0,502.0,501.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
26,26,26,[20],331.0,328.0,Inner20,329.0,334.0,331.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
27,27,27,[26],478.0,147.0,Inner9,476.0,481.0,478.0,differentia=1+policy=RecencyProportionalResolution+target=4096,<function upgma at 0x7f0e5678eb80>
