,Column Configuration,Differentia Bit Width,Stratum Retention Policy,Stratum Retention Policy Resolution Parameter,Stratigraphic Column Actual Retained Bits,Stratigraphic Column Target Retained Bits,Stratigraphic Column Retained Bits Error,Stratigraphic Column Actual Num Retained Strata,Taxon Compared From,Taxon Compared To,Generation of Taxon Compared From,Generation of Taxon Compared To,Generation Of MRCA Lower Bound (inclusive),Generation Of MRCA Upper Bound (exclusive),MRCA Bound Confidence,Rank of Earliest Detectable Mrca With
0,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4737,4733,501,501,460.0,480.0,0.96875,32
1,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4737,4733,501,501,448.0,500.0,0.99609375,0
2,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4737,4733,501,501,256.0,500.0,1.0,0
3,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4737,4733,501,501,460.0,480.0,0.96875,32
4,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4737,4733,501,501,476.0,480.0,0.99609375,0
5,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4737,4733,501,501,448.0,500.0,1.0,0
6,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4737,4733,501,501,476.0,496.0,0.96875,32
7,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4737,4733,501,501,476.0,480.0,0.99609375,0
8,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4737,4733,501,501,448.0,480.0,1.0,0
9,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4737,4733,501,501,475.0,480.0,0.96875,28
10,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4737,4733,501,501,448.0,480.0,0.99609375,0
11,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4737,4733,501,501,448.0,480.0,1.0,0
12,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4737,4733,501,501,474.0,479.0,0.96875,28
13,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4737,4733,501,501,476.0,477.0,0.99609375,0
14,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4737,4733,501,501,448.0,480.0,1.0,0
15,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4737,4733,501,501,472.0,477.0,0.96875,28
16,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4737,4733,501,501,476.0,477.0,0.99609375,0
17,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4737,4733,501,501,472.0,480.0,1.0,0
18,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4737,4686,501,495,72.0,92.0,0.96875,32
19,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4737,4686,501,495,0.0,128.0,0.99609375,0
20,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4737,4686,501,495,0.0,256.0,1.0,0
21,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4737,4686,501,495,76.0,96.0,0.96875,32
22,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4737,4686,501,495,88.0,92.0,0.99609375,0
23,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4737,4686,501,495,0.0,128.0,1.0,0
24,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4737,4686,501,495,72.0,92.0,0.96875,32
25,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4737,4686,501,495,88.0,92.0,0.99609375,0
26,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4737,4686,501,495,64.0,96.0,1.0,0
27,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4737,4686,501,495,76.0,96.0,0.96875,28
28,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4737,4686,501,495,0.0,256.0,0.99609375,0
29,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4737,4686,501,495,0.0,256.0,1.0,0
