Tree Comparison Metric,condition,policy,Num Column Bits,1,8,64,sign
Clustering Information Distance,ecoea,RPR,64,0.75741448,0.88187568,0.88445336,True
Clustering Information Distance,ecoea,RPR,512,0.77527017,0.86851389,0.88445336,True
Clustering Information Distance,ecoea,RPR,4096,0.74973967,0.87205268,0.87675364,True
Clustering Information Distance,ecoea,TDPR,64,0.84394104,0.9063332,0.91965543,True
Clustering Information Distance,ecoea,TDPR,512,0.78313215,0.8850693,0.9197733,True
Clustering Information Distance,ecoea,TDPR,4096,0.76066297,0.87342671,0.89416878,True
Clustering Information Distance,lexicase,RPR,64,0.5229912,0.49939839,0.49939839,False
Clustering Information Distance,lexicase,RPR,512,0.44076455,0.48910738,0.49939839,True
Clustering Information Distance,lexicase,RPR,4096,0.47469575,0.47469575,0.48910738,True
Clustering Information Distance,lexicase,TDPR,64,0.45878823,0.56157204,0.58095457,True
Clustering Information Distance,lexicase,TDPR,512,0.41731754,0.48910738,0.56157204,True
Clustering Information Distance,lexicase,TDPR,4096,0.41731754,0.47469575,0.48910738,True
Clustering Information Distance,random,RPR,64,0.53282846,0.49739862,0.49739862,False
Clustering Information Distance,random,RPR,512,0.48993329,0.48702856,0.49739862,True
Clustering Information Distance,random,RPR,4096,0.50719806,0.48702856,0.48702856,False
Clustering Information Distance,random,TDPR,64,0.55056055,0.71147249,0.72346771,True
Clustering Information Distance,random,TDPR,512,0.53611693,0.52442493,0.72346771,True
Clustering Information Distance,random,TDPR,4096,0.535141,0.50616929,0.52442493,False
Clustering Information Distance,sharing,RPR,64,0.26996582,0.57029131,0.57029131,True
Clustering Information Distance,sharing,RPR,512,0.34865105,0.3265691,0.57029131,True
Clustering Information Distance,sharing,RPR,4096,0.29234711,0.3265691,0.3265691,True
Clustering Information Distance,sharing,TDPR,64,0.62262967,0.72582082,0.74538968,True
Clustering Information Distance,sharing,TDPR,512,0.44765528,0.56873674,0.74358073,True
Clustering Information Distance,sharing,TDPR,4096,0.3877124,0.47324102,0.56367128,True
Clustering Information Distance,tournament,RPR,64,1.0,1.0,1.0,False
Clustering Information Distance,tournament,RPR,512,1.0,1.0,1.0,False
Clustering Information Distance,tournament,RPR,4096,1.0,1.0,1.0,False
Clustering Information Distance,tournament,TDPR,64,1.0,1.0,1.0,False
Clustering Information Distance,tournament,TDPR,512,1.0,1.0,1.0,False
Clustering Information Distance,tournament,TDPR,4096,1.0,1.0,1.0,False
Generalized Robinson-Foulds Similarity,ecoea,RPR,64,0.12789964,0.09858057,0.10959622,False
Generalized Robinson-Foulds Similarity,ecoea,RPR,512,0.11969511,0.12522623,0.10959622,False
Generalized Robinson-Foulds Similarity,ecoea,RPR,4096,0.1352247,0.12705271,0.12705271,False
Generalized Robinson-Foulds Similarity,ecoea,TDPR,64,0.10518887,0.08705949,0.07270782,False
Generalized Robinson-Foulds Similarity,ecoea,TDPR,512,0.12010034,0.10492534,0.07037986,False
Generalized Robinson-Foulds Similarity,ecoea,TDPR,4096,0.11906405,0.12705271,0.10270166,False
Generalized Robinson-Foulds Similarity,lexicase,RPR,64,0.61418408,0.58734585,0.58734585,False
Generalized Robinson-Foulds Similarity,lexicase,RPR,512,0.63531469,0.58632479,0.58734585,False
Generalized Robinson-Foulds Similarity,lexicase,RPR,4096,0.61132479,0.61132479,0.58632479,False
Generalized Robinson-Foulds Similarity,lexicase,TDPR,64,0.62011447,0.52863553,0.52913068,False
Generalized Robinson-Foulds Similarity,lexicase,TDPR,512,0.67174145,0.58632479,0.52863553,False
Generalized Robinson-Foulds Similarity,lexicase,TDPR,4096,0.67174145,0.61132479,0.58632479,False
Generalized Robinson-Foulds Similarity,random,RPR,64,0.52725701,0.55443922,0.55443922,True
Generalized Robinson-Foulds Similarity,random,RPR,512,0.56270752,0.55569694,0.55443922,False
Generalized Robinson-Foulds Similarity,random,RPR,4096,0.53187026,0.55569694,0.55569694,True
Generalized Robinson-Foulds Similarity,random,TDPR,64,0.50801107,0.32223085,0.29271759,False
Generalized Robinson-Foulds Similarity,random,TDPR,512,0.52564843,0.54364234,0.29275636,False
Generalized Robinson-Foulds Similarity,random,TDPR,4096,0.5263896,0.54654778,0.54364234,True
Generalized Robinson-Foulds Similarity,sharing,RPR,64,0.657461,0.42017511,0.42017511,False
Generalized Robinson-Foulds Similarity,sharing,RPR,512,0.5960249,0.64111808,0.42017511,False
Generalized Robinson-Foulds Similarity,sharing,RPR,4096,0.67107653,0.64111808,0.64111808,False
Generalized Robinson-Foulds Similarity,sharing,TDPR,64,0.38504625,0.27779412,0.25892199,False
Generalized Robinson-Foulds Similarity,sharing,TDPR,512,0.52078196,0.41515824,0.25953255,False
Generalized Robinson-Foulds Similarity,sharing,TDPR,4096,0.56819923,0.47414881,0.42323694,False
Generalized Robinson-Foulds Similarity,tournament,RPR,64,0.0,0.0,0.0,False
Generalized Robinson-Foulds Similarity,tournament,RPR,512,0.0,0.0,0.0,False
Generalized Robinson-Foulds Similarity,tournament,RPR,4096,0.0,0.0,0.0,False
Generalized Robinson-Foulds Similarity,tournament,TDPR,64,0.0,0.0,0.0,False
Generalized Robinson-Foulds Similarity,tournament,TDPR,512,0.0,0.0,0.0,False
Generalized Robinson-Foulds Similarity,tournament,TDPR,4096,0.0,0.0,0.0,False
Mutual Clustering Information,ecoea,RPR,64,0.7327002,0.73891815,0.76353253,True
