Tree Comparison Metric,condition,Num Differentia Bits,Num Column Bits,RPR,TDPR,sign
Clustering Information Distance,ecoea,1,64,0.75741448,0.84394104,1.0
Clustering Information Distance,ecoea,1,512,0.77527017,0.78313215,1.0
Clustering Information Distance,ecoea,1,4096,0.74973967,0.76066297,1.0
Clustering Information Distance,ecoea,8,64,0.88187568,0.9063332,1.0
Clustering Information Distance,ecoea,8,512,0.86851389,0.8850693,1.0
Clustering Information Distance,ecoea,8,4096,0.87205268,0.87342671,1.0
Clustering Information Distance,ecoea,64,64,0.88445336,0.91965543,1.0
Clustering Information Distance,ecoea,64,512,0.88445336,0.9197733,1.0
Clustering Information Distance,ecoea,64,4096,0.87675364,0.89416878,1.0
Clustering Information Distance,lexicase,1,64,0.5229912,0.45878823,0.0
Clustering Information Distance,lexicase,1,512,0.44076455,0.41731754,0.0
Clustering Information Distance,lexicase,1,4096,0.47469575,0.41731754,0.0
Clustering Information Distance,lexicase,8,64,0.49939839,0.56157204,1.0
Clustering Information Distance,lexicase,8,512,0.48910738,0.48910738,0.0
Clustering Information Distance,lexicase,8,4096,0.47469575,0.47469575,0.0
Clustering Information Distance,lexicase,64,64,0.49939839,0.58095457,1.0
Clustering Information Distance,lexicase,64,512,0.49939839,0.56157204,1.0
Clustering Information Distance,lexicase,64,4096,0.48910738,0.48910738,0.0
Clustering Information Distance,random,1,64,0.53282846,0.55056055,1.0
Clustering Information Distance,random,1,512,0.48993329,0.53611693,1.0
Clustering Information Distance,random,1,4096,0.50719806,0.535141,1.0
Clustering Information Distance,random,8,64,0.49739862,0.71147249,1.0
Clustering Information Distance,random,8,512,0.48702856,0.52442493,1.0
Clustering Information Distance,random,8,4096,0.48702856,0.50616929,1.0
Clustering Information Distance,random,64,64,0.49739862,0.72346771,1.0
Clustering Information Distance,random,64,512,0.49739862,0.72346771,1.0
Clustering Information Distance,random,64,4096,0.48702856,0.52442493,1.0
Clustering Information Distance,sharing,1,64,0.26996582,0.62262967,1.0
Clustering Information Distance,sharing,1,512,0.34865105,0.44765528,1.0
Clustering Information Distance,sharing,1,4096,0.29234711,0.3877124,1.0
Clustering Information Distance,sharing,8,64,0.57029131,0.72582082,1.0
