,Mean Actual Retained Bits,actual_bits,actual_strata,bits_error,differentia,policy,resolution,target_bits,_
0,62.833333333333336,63,63,-1,1,TaperedDepthProportionalResolution,31,64,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64
1,56.0,56,7,-8,8,TaperedDepthProportionalResolution,3,64,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64
2,192.0,192,3,128,64,TaperedDepthProportionalResolution,1,64,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64
3,497.2916666666667,496,496,-16,1,TaperedDepthProportionalResolution,496,512,actual_bits=496+actual_strata=496+bits_error=-16+differentia=1+policy=TaperedDepthProportionalResolution+resolution=496+target_bits=512
4,502.6666666666667,504,63,-8,8,TaperedDepthProportionalResolution,31,512,actual_bits=504+actual_strata=63+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=512
5,448.0,448,7,-64,64,TaperedDepthProportionalResolution,3,512,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512
6,497.2916666666667,496,496,-3600,1,TaperedDepthProportionalResolution,496,4096,actual_bits=496+actual_strata=496+bits_error=-3600+differentia=1+policy=TaperedDepthProportionalResolution+resolution=496+target_bits=4096
7,3978.3333333333335,3968,496,-128,8,TaperedDepthProportionalResolution,496,4096,actual_bits=3968+actual_strata=496+bits_error=-128+differentia=8+policy=TaperedDepthProportionalResolution+resolution=496+target_bits=4096
8,4021.3333333333335,4032,63,-64,64,TaperedDepthProportionalResolution,31,4096,actual_bits=4032+actual_strata=63+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=4096
9,57.958333333333336,60,60,-4,1,RecencyProportionalResolution,8,64,actual_bits=60+actual_strata=60+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=8+target_bits=64
10,55.666666666666664,72,9,8,8,RecencyProportionalResolution,0,64,actual_bits=72+actual_strata=9+bits_error=8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64
11,445.3333333333333,576,9,512,64,RecencyProportionalResolution,0,64,actual_bits=576+actual_strata=9+bits_error=512+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64
12,497.2916666666667,496,496,-16,1,RecencyProportionalResolution,496,512,actual_bits=496+actual_strata=496+bits_error=-16+differentia=1+policy=RecencyProportionalResolution+resolution=496+target_bits=512
13,463.6666666666667,480,60,-32,8,RecencyProportionalResolution,8,512,actual_bits=480+actual_strata=60+bits_error=-32+differentia=8+policy=RecencyProportionalResolution+resolution=8+target_bits=512
14,445.3333333333333,576,9,64,64,RecencyProportionalResolution,0,512,actual_bits=576+actual_strata=9+bits_error=64+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512
15,497.2916666666667,496,496,-3600,1,RecencyProportionalResolution,496,4096,actual_bits=496+actual_strata=496+bits_error=-3600+differentia=1+policy=RecencyProportionalResolution+resolution=496+target_bits=4096
16,3978.3333333333335,3968,496,-128,8,RecencyProportionalResolution,496,4096,actual_bits=3968+actual_strata=496+bits_error=-128+differentia=8+policy=RecencyProportionalResolution+resolution=496+target_bits=4096
17,3709.3333333333335,3840,60,-256,64,RecencyProportionalResolution,8,4096,actual_bits=3840+actual_strata=60+bits_error=-256+differentia=64+policy=RecencyProportionalResolution+resolution=8+target_bits=4096
