,Instance,Algorithm,Treatment,Unweighted Robinson Foulds Distance Error,Weighted Robinson Foulds Distance Error,Euclidean Distance Error,differentia,policy,target,_,Target Column Bit Size,Stratum Retention Policy,Differentia Bit Width
0,Instance,<function upgma at 0x7f295e9051f0>,differentia=1+policy=RecencyProportionalResolution+target=4096,6,44803.0,14920.852606335873,1,RecencyProportionalResolution,4096,differentia=1+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,1
1,Instance,<function upgma at 0x7f295e9051f0>,differentia=1+policy=RecencyProportionalResolution+target=512,6,43795.0,14504.980954830655,1,RecencyProportionalResolution,512,differentia=1+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,1
2,Instance,<function upgma at 0x7f295e9051f0>,differentia=1+policy=RecencyProportionalResolution+target=64,6,34003.0,10984.941351686863,1,RecencyProportionalResolution,64,differentia=1+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,1
3,Instance,<function upgma at 0x7f295e9051f0>,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,6,44811.0,14924.850367759136,1,TaperedDepthProportionalResolution,4096,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,1
4,Instance,<function upgma at 0x7f295e9051f0>,differentia=1+policy=TaperedDepthProportionalResolution+target=512,6,44699.0,14870.661871618224,1,TaperedDepthProportionalResolution,512,differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,1
5,Instance,<function upgma at 0x7f295e9051f0>,differentia=1+policy=TaperedDepthProportionalResolution+target=64,6,42323.0,13841.369025497443,1,TaperedDepthProportionalResolution,64,differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,1
6,Instance,<function upgma at 0x7f295e9051f0>,differentia=64+policy=RecencyProportionalResolution+target=4096,6,42963.0,14238.12601784378,64,RecencyProportionalResolution,4096,differentia=64+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,64
7,Instance,<function upgma at 0x7f295e9051f0>,differentia=64+policy=RecencyProportionalResolution+target=512,6,28627.0,9093.343966880391,64,RecencyProportionalResolution,512,differentia=64+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,64
8,Instance,<function upgma at 0x7f295e9051f0>,differentia=64+policy=RecencyProportionalResolution+target=64,6,28627.0,9093.343966880391,64,RecencyProportionalResolution,64,differentia=64+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,64
9,Instance,<function upgma at 0x7f295e9051f0>,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,6,44499.0,14811.969501048805,64,TaperedDepthProportionalResolution,4096,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,64
10,Instance,<function upgma at 0x7f295e9051f0>,differentia=64+policy=TaperedDepthProportionalResolution+target=512,6,40915.0,13477.543118090924,64,TaperedDepthProportionalResolution,512,differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,64
11,Instance,<function upgma at 0x7f295e9051f0>,differentia=64+policy=TaperedDepthProportionalResolution+target=64,6,28627.0,9093.343966880391,64,TaperedDepthProportionalResolution,64,differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,64
12,Instance,<function upgma at 0x7f295e9051f0>,differentia=8+policy=RecencyProportionalResolution+target=4096,6,44755.0,14907.866664952433,8,RecencyProportionalResolution,4096,differentia=8+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,8
13,Instance,<function upgma at 0x7f295e9051f0>,differentia=8+policy=RecencyProportionalResolution+target=512,6,42963.0,14238.12601784378,8,RecencyProportionalResolution,512,differentia=8+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,8
14,Instance,<function upgma at 0x7f295e9051f0>,differentia=8+policy=RecencyProportionalResolution+target=64,6,28627.0,9093.343966880391,8,RecencyProportionalResolution,64,differentia=8+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,8
15,Instance,<function upgma at 0x7f295e9051f0>,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,6,44803.0,14921.207742672843,8,TaperedDepthProportionalResolution,4096,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,8
16,Instance,<function upgma at 0x7f295e9051f0>,differentia=8+policy=TaperedDepthProportionalResolution+target=512,6,44499.0,14811.969501048805,8,TaperedDepthProportionalResolution,512,differentia=8+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,8
17,Instance,<function upgma at 0x7f295e9051f0>,differentia=8+policy=TaperedDepthProportionalResolution+target=64,6,40915.0,13477.543118090924,8,TaperedDepthProportionalResolution,64,differentia=8+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,8
