,Mean Actual Retained Bits,actual_bits,actual_strata,bits_error,differentia,policy,resolution,target_bits,_
0,63.0,63,63,-1,1,TaperedDepthProportionalResolution,31,64,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64
1,56.0,56,7,-8,8,TaperedDepthProportionalResolution,3,64,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64
2,192.0,192,3,128,64,TaperedDepthProportionalResolution,1,64,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64
3,510.22627737226276,511,511,-1,1,TaperedDepthProportionalResolution,255,512,actual_bits=511+actual_strata=511+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=255+target_bits=512
4,504.0,504,63,-8,8,TaperedDepthProportionalResolution,31,512,actual_bits=504+actual_strata=63+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=512
5,448.0,448,7,-64,64,TaperedDepthProportionalResolution,3,512,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512
6,3000.5328467153286,2999,2999,-1097,1,TaperedDepthProportionalResolution,2999,4096,actual_bits=2999+actual_strata=2999+bits_error=-1097+differentia=1+policy=TaperedDepthProportionalResolution+resolution=2999+target_bits=4096
7,4081.810218978102,4088,511,-8,8,TaperedDepthProportionalResolution,255,4096,actual_bits=4088+actual_strata=511+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=255+target_bits=4096
8,4032.0,4032,63,-64,64,TaperedDepthProportionalResolution,31,4096,actual_bits=4032+actual_strata=63+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=4096
9,56.36496350364963,57,57,-7,1,RecencyProportionalResolution,5,64,actual_bits=57+actual_strata=57+bits_error=-7+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64
10,66.91970802919708,72,9,8,8,RecencyProportionalResolution,0,64,actual_bits=72+actual_strata=9+bits_error=8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64
11,535.3576642335767,576,9,512,64,RecencyProportionalResolution,0,64,actual_bits=576+actual_strata=9+bits_error=512+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64
12,511.3649635036496,512,512,0,1,RecencyProportionalResolution,83,512,actual_bits=512+actual_strata=512+bits_error=0+differentia=1+policy=RecencyProportionalResolution+resolution=83+target_bits=512
13,450.91970802919707,456,57,-56,8,RecencyProportionalResolution,5,512,actual_bits=456+actual_strata=57+bits_error=-56+differentia=8+policy=RecencyProportionalResolution+resolution=5+target_bits=512
14,535.3576642335767,576,9,64,64,RecencyProportionalResolution,0,512,actual_bits=576+actual_strata=9+bits_error=64+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512
15,3000.5328467153286,2999,2999,-1097,1,RecencyProportionalResolution,2999,4096,actual_bits=2999+actual_strata=2999+bits_error=-1097+differentia=1+policy=RecencyProportionalResolution+resolution=2999+target_bits=4096
16,4090.919708029197,4096,512,0,8,RecencyProportionalResolution,83,4096,actual_bits=4096+actual_strata=512+bits_error=0+differentia=8+policy=RecencyProportionalResolution+resolution=83+target_bits=4096
17,3607.3576642335765,3648,57,-448,64,RecencyProportionalResolution,5,4096,actual_bits=3648+actual_strata=57+bits_error=-448+differentia=64+policy=RecencyProportionalResolution+resolution=5+target_bits=4096
