,Instance,Algorithm,Treatment,Unweighted Robinson Foulds Distance Error,Weighted Robinson Foulds Distance Error,Euclidean Distance Error,differentia,policy,target,_,Target Column Bit Size,Stratum Retention Policy,Differentia Bit Width
0,Instance,<function upgma at 0x7f53f4084ca0>,differentia=1+policy=RecencyProportionalResolution+target=4096,4,2944.5,785.9995229006186,1,RecencyProportionalResolution,4096,differentia=1+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,1
1,Instance,<function upgma at 0x7f53f4084ca0>,differentia=1+policy=RecencyProportionalResolution+target=512,2,2923.5,785.3930544638143,1,RecencyProportionalResolution,512,differentia=1+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,1
2,Instance,<function upgma at 0x7f53f4084ca0>,differentia=1+policy=RecencyProportionalResolution+target=64,8,2844.0,737.0278149432354,1,RecencyProportionalResolution,64,differentia=1+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,1
3,Instance,<function upgma at 0x7f53f4084ca0>,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4,2931.5,786.6449326093698,1,TaperedDepthProportionalResolution,4096,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,1
4,Instance,<function upgma at 0x7f53f4084ca0>,differentia=1+policy=TaperedDepthProportionalResolution+target=512,4,2941.5,781.5089570823868,1,TaperedDepthProportionalResolution,512,differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,1
5,Instance,<function upgma at 0x7f53f4084ca0>,differentia=1+policy=TaperedDepthProportionalResolution+target=64,10,3026.0,774.2948404839077,1,TaperedDepthProportionalResolution,64,differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,1
6,Instance,<function upgma at 0x7f53f4084ca0>,differentia=64+policy=RecencyProportionalResolution+target=4096,6,2891.5,780.9719905348719,64,RecencyProportionalResolution,4096,differentia=64+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,64
7,Instance,<function upgma at 0x7f53f4084ca0>,differentia=64+policy=RecencyProportionalResolution+target=512,10,2714.0,648.8497514833462,64,RecencyProportionalResolution,512,differentia=64+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,64
8,Instance,<function upgma at 0x7f53f4084ca0>,differentia=64+policy=RecencyProportionalResolution+target=64,10,2714.0,648.8497514833462,64,RecencyProportionalResolution,64,differentia=64+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,64
9,Instance,<function upgma at 0x7f53f4084ca0>,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,6,2906.0,784.0880052647152,64,TaperedDepthProportionalResolution,4096,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,64
10,Instance,<function upgma at 0x7f53f4084ca0>,differentia=64+policy=TaperedDepthProportionalResolution+target=512,18,2861.5,747.8230071347097,64,TaperedDepthProportionalResolution,512,differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,64
11,Instance,<function upgma at 0x7f53f4084ca0>,differentia=64+policy=TaperedDepthProportionalResolution+target=64,30,4113.5,795.8572422237546,64,TaperedDepthProportionalResolution,64,differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,64
12,Instance,<function upgma at 0x7f53f4084ca0>,differentia=8+policy=RecencyProportionalResolution+target=4096,4,2913.0,784.1626106873497,8,RecencyProportionalResolution,4096,differentia=8+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,8
13,Instance,<function upgma at 0x7f53f4084ca0>,differentia=8+policy=RecencyProportionalResolution+target=512,6,2891.5,780.9719905348719,8,RecencyProportionalResolution,512,differentia=8+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,8
14,Instance,<function upgma at 0x7f53f4084ca0>,differentia=8+policy=RecencyProportionalResolution+target=64,10,2714.0,648.8497514833462,8,RecencyProportionalResolution,64,differentia=8+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,8
15,Instance,<function upgma at 0x7f53f4084ca0>,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,4,2913.0,784.1626106873497,8,TaperedDepthProportionalResolution,4096,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,8
16,Instance,<function upgma at 0x7f53f4084ca0>,differentia=8+policy=TaperedDepthProportionalResolution+target=512,6,2906.0,784.0880052647152,8,TaperedDepthProportionalResolution,512,differentia=8+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,8
17,Instance,<function upgma at 0x7f53f4084ca0>,differentia=8+policy=TaperedDepthProportionalResolution+target=64,18,2861.5,747.8230071347097,8,TaperedDepthProportionalResolution,64,differentia=8+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,8
