Treatment,target,differentia,policy,condition,score,dist_fun,Tree Comparison Metric,Num Column Bits,Num Differentia Bits
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,random,0.53078963,info,Mutual Clustering Information,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,ecoea,0.77343524,info,Mutual Clustering Information,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,sharing,0.83529931,info,Mutual Clustering Information,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,tournament,,info,Mutual Clustering Information,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,lexicase,0.55516873,info,Mutual Clustering Information,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,random,0.50719806,cid,Clustering Information Distance,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,ecoea,0.74973967,cid,Clustering Information Distance,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,sharing,0.29234711,cid,Clustering Information Distance,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,tournament,1.0,cid,Clustering Information Distance,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,lexicase,0.47469575,cid,Clustering Information Distance,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,random,0.53187026,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,ecoea,0.1352247,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,sharing,0.67107653,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=RecencyProportionalResolution+target=4096,4096,1,RPR,lexicase,0.61132479,rf,Generalized Robinson-Foulds Similarity,4096,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,random,0.54839495,info,Mutual Clustering Information,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,ecoea,0.69242131,info,Mutual Clustering Information,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,sharing,0.75676843,info,Mutual Clustering Information,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,tournament,,info,Mutual Clustering Information,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,lexicase,0.58712533,info,Mutual Clustering Information,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,random,0.48993329,cid,Clustering Information Distance,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,ecoea,0.77527017,cid,Clustering Information Distance,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,sharing,0.34865105,cid,Clustering Information Distance,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,tournament,1.0,cid,Clustering Information Distance,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,lexicase,0.44076455,cid,Clustering Information Distance,512,1
differentia=1+policy=RecencyProportionalResolution+target=512,512,1,RPR,random,0.56270752,rf,Generalized Robinson-Foulds Similarity,512,1
