,Instance,Algorithm,Treatment,Unweighted Robinson Foulds Distance Error,Weighted Robinson Foulds Distance Error,Euclidean Distance Error,differentia,policy,target,_,Target Column Bit Size,Stratum Retention Policy,Differentia Bit Width
0,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=1+policy=RecencyProportionalResolution+target=4096,40,5551.0,4944.661262412219,1,RecencyProportionalResolution,4096,differentia=1+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,1
1,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=1+policy=RecencyProportionalResolution+target=512,42,5553.0,4945.66648693581,1,RecencyProportionalResolution,512,differentia=1+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,1
2,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=1+policy=RecencyProportionalResolution+target=64,44,5578.0,4944.201806156379,1,RecencyProportionalResolution,64,differentia=1+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,1
3,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,38,5547.0,4944.670969842179,1,TaperedDepthProportionalResolution,4096,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,1
4,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=1+policy=TaperedDepthProportionalResolution+target=512,100,6405.5,4934.158818886964,1,TaperedDepthProportionalResolution,512,differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,1
5,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=1+policy=TaperedDepthProportionalResolution+target=64,116,12565.5,4911.34856734889,1,TaperedDepthProportionalResolution,64,differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,1
6,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=64+policy=RecencyProportionalResolution+target=4096,24,5485.5,4948.097841595293,64,RecencyProportionalResolution,4096,differentia=64+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,64
7,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=64+policy=RecencyProportionalResolution+target=512,90,6146.5,4933.569017455821,64,RecencyProportionalResolution,512,differentia=64+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,64
8,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=64+policy=RecencyProportionalResolution+target=64,90,6146.5,4933.569017455821,64,RecencyProportionalResolution,64,differentia=64+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,64
9,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,90,5792.5,4961.404211511092,64,TaperedDepthProportionalResolution,4096,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,64
10,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=64+policy=TaperedDepthProportionalResolution+target=512,112,19240.5,5091.560050711373,64,TaperedDepthProportionalResolution,512,differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,64
11,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=64+policy=TaperedDepthProportionalResolution+target=64,112,37672.0,5975.4332060529305,64,TaperedDepthProportionalResolution,64,differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,64
12,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=8+policy=RecencyProportionalResolution+target=4096,24,5492.0,4945.642122111142,8,RecencyProportionalResolution,4096,differentia=8+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,8
13,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=8+policy=RecencyProportionalResolution+target=512,24,5485.5,4948.097841595293,8,RecencyProportionalResolution,512,differentia=8+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,8
14,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=8+policy=RecencyProportionalResolution+target=64,90,6146.5,4933.569017455821,8,RecencyProportionalResolution,64,differentia=8+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,8
15,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,86,5555.0,4948.210636179507,8,TaperedDepthProportionalResolution,4096,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,8
16,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=8+policy=TaperedDepthProportionalResolution+target=512,90,5783.5,4961.396501994172,8,TaperedDepthProportionalResolution,512,differentia=8+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,8
17,Instance,<function upgma at 0x7fc2638d7dc0>,differentia=8+policy=TaperedDepthProportionalResolution+target=64,116,18258.0,5072.177885287542,8,TaperedDepthProportionalResolution,64,differentia=8+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,8
