,Instance,Algorithm,Treatment,Unweighted Robinson Foulds Distance Error,Weighted Robinson Foulds Distance Error,Euclidean Distance Error,differentia,policy,target,_,Target Column Bit Size,Stratum Retention Policy,Differentia Bit Width
0,Instance,<function upgma at 0x7fd589f2ba60>,differentia=1+policy=RecencyProportionalResolution+target=4096,124,4436.0,2943.7999252666614,1,RecencyProportionalResolution,4096,differentia=1+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,1
1,Instance,<function upgma at 0x7fd589f2ba60>,differentia=1+policy=RecencyProportionalResolution+target=512,122,4471.0,2943.867694037896,1,RecencyProportionalResolution,512,differentia=1+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,1
2,Instance,<function upgma at 0x7fd589f2ba60>,differentia=1+policy=RecencyProportionalResolution+target=64,122,4547.5,2934.7292464552843,1,RecencyProportionalResolution,64,differentia=1+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,1
3,Instance,<function upgma at 0x7fd589f2ba60>,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,122,4461.0,2943.831007377971,1,TaperedDepthProportionalResolution,4096,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,1
4,Instance,<function upgma at 0x7fd589f2ba60>,differentia=1+policy=TaperedDepthProportionalResolution+target=512,130,4672.5,2940.794918045119,1,TaperedDepthProportionalResolution,512,differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,1
5,Instance,<function upgma at 0x7fd589f2ba60>,differentia=1+policy=TaperedDepthProportionalResolution+target=64,136,11783.0,2956.726568352238,1,TaperedDepthProportionalResolution,64,differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,1
6,Instance,<function upgma at 0x7fd589f2ba60>,differentia=64+policy=RecencyProportionalResolution+target=4096,122,4733.0,2943.8508793755163,64,RecencyProportionalResolution,4096,differentia=64+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,64
7,Instance,<function upgma at 0x7fd589f2ba60>,differentia=64+policy=RecencyProportionalResolution+target=512,126,5325.0,2890.464928000338,64,RecencyProportionalResolution,512,differentia=64+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,64
8,Instance,<function upgma at 0x7fd589f2ba60>,differentia=64+policy=RecencyProportionalResolution+target=64,126,5325.0,2890.464928000338,64,RecencyProportionalResolution,64,differentia=64+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,64
9,Instance,<function upgma at 0x7fd589f2ba60>,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,136,5191.0,2934.4570196204954,64,TaperedDepthProportionalResolution,4096,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,64
10,Instance,<function upgma at 0x7fd589f2ba60>,differentia=64+policy=TaperedDepthProportionalResolution+target=512,146,33474.0,3818.8371266656554,64,TaperedDepthProportionalResolution,512,differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,64
11,Instance,<function upgma at 0x7fd589f2ba60>,differentia=64+policy=TaperedDepthProportionalResolution+target=64,146,68286.5,6157.791994700698,64,TaperedDepthProportionalResolution,64,differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,64
12,Instance,<function upgma at 0x7fd589f2ba60>,differentia=8+policy=RecencyProportionalResolution+target=4096,122,4691.0,2947.0437730037197,8,RecencyProportionalResolution,4096,differentia=8+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,8
13,Instance,<function upgma at 0x7fd589f2ba60>,differentia=8+policy=RecencyProportionalResolution+target=512,122,4719.0,2943.7468471320694,8,RecencyProportionalResolution,512,differentia=8+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,8
14,Instance,<function upgma at 0x7fd589f2ba60>,differentia=8+policy=RecencyProportionalResolution+target=64,128,5208.0,2889.8344243226115,8,RecencyProportionalResolution,64,differentia=8+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,8
15,Instance,<function upgma at 0x7fd589f2ba60>,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,122,4753.0,2945.9111493729747,8,TaperedDepthProportionalResolution,4096,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,8
16,Instance,<function upgma at 0x7fd589f2ba60>,differentia=8+policy=TaperedDepthProportionalResolution+target=512,136,5041.0,2933.9683024872643,8,TaperedDepthProportionalResolution,512,differentia=8+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,8
17,Instance,<function upgma at 0x7fd589f2ba60>,differentia=8+policy=TaperedDepthProportionalResolution+target=64,146,29050.0,3686.188275169894,8,TaperedDepthProportionalResolution,64,differentia=8+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,8
