,Instance,Algorithm,Treatment,Unweighted Robinson Foulds Distance Error,Weighted Robinson Foulds Distance Error,Euclidean Distance Error,differentia,policy,target,_,Target Column Bit Size,Stratum Retention Policy,Differentia Bit Width
0,Instance,<function upgma at 0x7f847559cca0>,differentia=1+policy=RecencyProportionalResolution+target=4096,26,6047.0,4799.039174668196,1,RecencyProportionalResolution,4096,differentia=1+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,1
1,Instance,<function upgma at 0x7f847559cca0>,differentia=1+policy=RecencyProportionalResolution+target=512,22,6043.5,4797.770862598588,1,RecencyProportionalResolution,512,differentia=1+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,1
2,Instance,<function upgma at 0x7f847559cca0>,differentia=1+policy=RecencyProportionalResolution+target=64,38,6099.5,4785.57836107612,1,RecencyProportionalResolution,64,differentia=1+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,1
3,Instance,<function upgma at 0x7f847559cca0>,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,22,6046.0,4800.104373865219,1,TaperedDepthProportionalResolution,4096,differentia=1+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,1
4,Instance,<function upgma at 0x7f847559cca0>,differentia=1+policy=TaperedDepthProportionalResolution+target=512,80,6851.5,4805.006737768429,1,TaperedDepthProportionalResolution,512,differentia=1+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,1
5,Instance,<function upgma at 0x7f847559cca0>,differentia=1+policy=TaperedDepthProportionalResolution+target=64,120,12953.0,4794.847338549998,1,TaperedDepthProportionalResolution,64,differentia=1+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,1
6,Instance,<function upgma at 0x7f847559cca0>,differentia=64+policy=RecencyProportionalResolution+target=4096,12,5972.0,4793.416474707784,64,RecencyProportionalResolution,4096,differentia=64+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,64
7,Instance,<function upgma at 0x7f847559cca0>,differentia=64+policy=RecencyProportionalResolution+target=512,84,6934.5,4761.806931197442,64,RecencyProportionalResolution,512,differentia=64+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,64
8,Instance,<function upgma at 0x7f847559cca0>,differentia=64+policy=RecencyProportionalResolution+target=64,84,6934.5,4761.806931197442,64,RecencyProportionalResolution,64,differentia=64+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,64
9,Instance,<function upgma at 0x7f847559cca0>,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,78,6359.5,4782.331518203229,64,TaperedDepthProportionalResolution,4096,differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,64
10,Instance,<function upgma at 0x7f847559cca0>,differentia=64+policy=TaperedDepthProportionalResolution+target=512,120,19063.5,5087.564373057112,64,TaperedDepthProportionalResolution,512,differentia=64+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,64
11,Instance,<function upgma at 0x7f847559cca0>,differentia=64+policy=TaperedDepthProportionalResolution+target=64,126,37238.5,5958.923665394615,64,TaperedDepthProportionalResolution,64,differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,64
12,Instance,<function upgma at 0x7f847559cca0>,differentia=8+policy=RecencyProportionalResolution+target=4096,12,5965.5,4801.362645124819,8,RecencyProportionalResolution,4096,differentia=8+policy=RecencyProportionalResolution+target=4096,4096,RecencyProportionalResolution,8
13,Instance,<function upgma at 0x7f847559cca0>,differentia=8+policy=RecencyProportionalResolution+target=512,12,5972.0,4793.416474707784,8,RecencyProportionalResolution,512,differentia=8+policy=RecencyProportionalResolution+target=512,512,RecencyProportionalResolution,8
14,Instance,<function upgma at 0x7f847559cca0>,differentia=8+policy=RecencyProportionalResolution+target=64,84,6934.5,4761.806931197442,8,RecencyProportionalResolution,64,differentia=8+policy=RecencyProportionalResolution+target=64,64,RecencyProportionalResolution,8
15,Instance,<function upgma at 0x7f847559cca0>,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,52,6027.0,4804.133272506082,8,TaperedDepthProportionalResolution,4096,differentia=8+policy=TaperedDepthProportionalResolution+target=4096,4096,TaperedDepthProportionalResolution,8
16,Instance,<function upgma at 0x7f847559cca0>,differentia=8+policy=TaperedDepthProportionalResolution+target=512,78,6359.5,4782.331518203229,8,TaperedDepthProportionalResolution,512,differentia=8+policy=TaperedDepthProportionalResolution+target=512,512,TaperedDepthProportionalResolution,8
17,Instance,<function upgma at 0x7f847559cca0>,differentia=8+policy=TaperedDepthProportionalResolution+target=64,126,17884.5,5064.31700725774,8,TaperedDepthProportionalResolution,64,differentia=8+policy=TaperedDepthProportionalResolution+target=64,64,TaperedDepthProportionalResolution,8
